blood_group_match,same_district,age,weight,days_since_donation,is_eligible,emergency_level,availability,recommendation_score
1,0,20,83.8,259,0,3,0,0.4771
1,0,33,98.1,79,1,1,1,0.7395
1,0,62,55.5,59,1,1,1,0.7065
0,1,34,45.9,46,1,2,1,0.6326
0,1,53,62.7,332,1,3,1,0.7019
1,1,36,53.2,201,1,1,1,0.9415
0,1,21,75.2,260,0,3,1,0.43
0,1,42,94.4,35,0,1,0,0.2544
1,1,44,82.9,18,1,3,0,0.8738
1,0,29,52.5,255,0,2,0,0.5116
1,1,44,51.4,285,1,3,1,0.9713
1,1,21,95.1,40,1,2,0,0.8433
1,1,41,71.8,283,1,1,1,0.8524
1,1,34,95.8,286,1,3,0,0.8702
1,1,43,85.5,227,0,1,0,0.6259
1,0,35,99.6,170,0,1,1,0.5256
1,1,39,92.9,244,0,2,1,0.7812
1,1,23,67.8,11,0,3,1,0.7155
1,0,36,86.7,214,0,2,1,0.5487
1,0,54,70.9,139,1,3,1,0.7441
0,1,51,57.8,297,1,1,1,0.666
1,0,28,58.3,345,0,1,0,0.3553
0,0,41,66.9,184,0,3,1,0.3315
0,1,62,51.1,211,1,1,1,0.596
0,0,54,54.8,271,1,1,0,0.1356
1,1,40,72.5,98,1,2,0,0.8052
1,0,57,97.5,131,0,1,0,0.4136
1,1,60,76.8,114,1,1,0,0.7965
1,1,21,67.5,268,0,1,0,0.5393
0,0,35,58.3,59,1,3,0,0.2501
0,0,47,55.8,283,1,1,0,0.2781
1,1,32,81.2,108,0,2,0,0.562
1,1,54,91.7,347,1,2,0,0.906
1,0,40,66.9,21,1,2,1,0.7062
1,1,29,75.3,340,1,2,1,0.9928
0,0,21,83.9,26,0,1,1,0.0818
1,0,21,48.2,213,0,2,1,0.4781
0,0,58,64.3,43,1,3,0,0.3575
1,1,58,85.1,79,0,3,0,0.6575
1,1,31,82.7,365,1,1,0,0.7507
1,0,25,47.9,279,0,3,0,0.4465
1,0,40,58.1,173,0,3,1,0.5837
1,1,18,82.4,272,0,1,0,0.5467
1,1,28,59.9,260,1,1,1,0.7767
0,1,44,89.8,37,0,2,1,0.2964
0,0,21,46.6,58,0,2,1,0.2135
1,0,46,55.5,181,0,1,1,0.421
0,1,34,60.5,104,1,3,1,0.662
1,0,36,95.9,95,1,1,1,0.7101
0,0,62,88.8,89,1,2,1,0.3414
1,1,41,93.6,70,1,1,0,0.8505
0,0,61,69.2,99,0,1,0,0.0
1,1,63,90.2,310,1,3,1,0.9612
0,1,58,91.9,326,1,1,0,0.4739
0,1,61,67.0,170,1,2,0,0.4668
1,1,49,99.7,346,1,1,1,0.9331
1,0,48,91.8,165,1,3,1,0.8011
1,1,33,98.6,239,1,1,1,0.8849
1,1,49,92.7,215,0,3,1,0.8533
1,1,61,87.7,343,1,1,1,0.8832
0,0,59,96.9,60,0,3,0,0.0937
1,0,51,68.1,185,0,1,1,0.53
1,0,52,88.1,363,1,1,0,0.6231
0,0,54,56.7,181,0,1,0,0.0
0,1,33,85.3,218,0,1,1,0.3608
0,0,38,88.2,33,0,1,1,0.0885
1,0,30,84.4,44,0,2,0,0.5081
1,0,35,91.7,137,1,2,0,0.7063
0,1,19,67.7,185,0,1,0,0.2638
0,1,50,75.0,349,1,3,1,0.6323
1,1,58,45.6,27,1,3,1,1.0
0,1,35,53.0,105,0,2,0,0.3401
1,0,45,80.4,285,0,2,1,0.5788
0,0,54,75.9,283,0,2,1,0.2748
0,0,52,55.9,156,0,3,0,0.139
1,0,54,58.4,286,1,2,0,0.6624
0,0,29,63.9,106,0,2,1,0.1948
0,1,57,84.4,232,0,2,1,0.3687
1,0,25,78.5,195,1,1,1,0.7485
1,1,42,48.8,338,1,1,1,0.9179
0,1,24,86.8,201,1,2,0,0.5087
1,1,19,59.4,108,1,3,0,0.8495
1,0,50,81.9,30,0,1,1,0.5093
1,0,50,51.8,225,0,2,0,0.4588
0,1,57,99.9,40,1,1,1,0.5877
0,0,40,49.4,63,0,3,0,0.0798
0,0,22,85.8,230,1,2,1,0.3675
0,0,31,74.8,169,0,2,0,0.124
0,0,25,49.7,299,1,1,0,0.3581
0,1,37,46.5,138,1,2,0,0.4711
0,0,35,64.9,291,1,1,0,0.3034
1,0,40,89.1,363,0,3,0,0.4553
1,0,46,47.3,235,0,1,0,0.3909
0,1,24,83.7,287,0,2,1,0.408
0,1,41,81.0,359,0,3,1,0.4643
1,0,63,59.6,66,0,3,0,0.4707
0,0,42,49.3,187,1,3,0,0.3134
0,0,31,95.3,347,1,1,1,0.3081
0,0,55,61.5,280,1,3,0,0.2738
1,1,20,51.1,27,1,2,0,0.8856
1,1,63,82.5,210,1,3,1,0.9583
1,1,31,56.9,233,1,3,0,0.88
0,1,20,71.2,18,1,1,0,0.4451
1,1,59,47.8,311,1,1,0,0.9416
1,1,26,99.6,112,0,2,1,0.7185
0,0,24,69.6,343,0,2,0,0.1636
0,1,43,100.0,357,0,1,1,0.3332
0,1,24,66.2,125,0,3,0,0.2914
0,1,24,64.1,207,0,1,1,0.3856
1,0,61,95.3,81,1,1,0,0.6254
1,1,53,63.1,251,1,1,1,0.937
0,1,30,68.8,40,1,2,1,0.574
0,1,20,49.3,268,1,2,1,0.5994
0,1,37,97.6,204,0,2,1,0.4579
0,0,26,49.7,98,0,2,0,0.1548
0,0,39,87.4,82,0,3,1,0.206
1,0,62,74.6,23,0,2,1,0.5174
0,1,50,48.4,352,1,2,1,0.6009
1,0,40,45.1,72,1,3,0,0.6352
0,0,40,96.5,182,1,3,0,0.3633
1,0,55,85.8,2,1,1,0,0.575
0,0,43,82.8,258,1,3,1,0.4461
0,0,49,69.1,29,1,3,1,0.4244
1,1,45,58.1,145,0,2,1,0.5789
1,1,47,82.4,321,1,2,1,0.929
1,1,57,78.5,211,0,2,0,0.6498
1,1,34,84.9,26,1,2,0,0.857
1,1,35,65.1,355,0,3,0,0.776
1,1,42,99.3,104,0,2,0,0.6317
1,0,21,48.7,109,0,2,1,0.4575
1,0,43,49.4,18,0,1,0,0.4133
0,1,48,95.4,15,1,3,1,0.5965
0,1,29,80.6,281,0,3,1,0.5385
0,1,65,62.9,269,1,3,0,0.5982
1,1,35,86.9,46,1,1,0,0.7254
1,0,27,69.9,145,0,3,0,0.4371
0,0,53,46.2,155,0,3,1,0.2952
1,1,19,80.8,29,1,2,0,0.8259
0,1,42,58.4,104,1,3,0,0.543
1,1,64,51.3,148,1,2,1,0.924
1,1,26,57.4,47,0,1,1,0.7798
1,1,64,71.2,182,1,2,0,0.8489
1,1,49,47.7,157,0,1,0,0.6451
0,0,22,93.6,41,0,1,1,0.0668
0,0,20,75.8,164,0,1,0,0.0
0,0,34,61.1,296,0,2,1,0.3109
1,0,30,82.8,173,0,1,1,0.4494
0,1,20,89.2,351,0,2,1,0.4456
0,0,45,78.8,93,1,2,1,0.4259
0,0,21,56.1,213,1,2,1,0.4102
0,1,35,51.1,187,1,1,0,0.5079
0,0,52,92.3,87,0,2,0,0.0
0,0,31,57.9,256,1,2,1,0.4626
1,0,33,46.1,247,0,1,1,0.3989
1,1,29,80.4,53,1,2,0,0.867
1,1,28,53.4,290,1,1,0,0.958
1,1,19,99.5,143,1,1,1,0.9662
0,1,50,92.8,4,1,1,1,0.538
0,0,30,78.5,364,0,2,1,0.2053
1,1,47,90.9,36,1,2,1,0.9208
0,1,43,70.9,118,0,3,0,0.2623
0,1,35,88.4,362,0,3,0,0.3405
0,0,30,80.6,152,0,3,0,0.0476
1,0,21,46.6,322,0,1,1,0.4841
0,0,50,97.2,245,1,3,0,0.3786
1,0,32,92.4,293,1,2,1,0.7972
1,1,34,97.4,211,0,1,1,0.7328
0,0,23,85.2,129,1,1,0,0.2594
1,1,22,67.7,191,1,2,1,0.8554
1,0,50,56.4,196,0,3,1,0.5576
1,1,33,54.9,255,0,3,0,0.6812
1,0,63,53.0,147,1,2,1,0.6575
1,0,41,57.1,341,1,2,1,0.6935
0,0,22,75.3,266,1,3,0,0.3847
0,0,20,82.6,337,1,2,1,0.4289
1,1,52,62.3,290,0,3,1,0.7321
1,0,44,75.2,171,1,2,0,0.7085
1,1,29,63.8,300,1,3,1,1.0
1,1,58,83.3,148,0,2,0,0.6304
1,0,42,99.4,147,1,1,1,0.6402
1,0,34,82.9,264,0,1,1,0.5993
1,0,37,48.2,94,0,1,0,0.4802
0,0,45,71.2,185,1,2,0,0.3503
1,1,52,87.4,256,1,3,1,1.0
0,1,32,74.8,210,0,3,1,0.4261
0,0,50,97.3,2,1,3,1,0.4056
1,1,20,48.0,166,1,1,0,0.8741
0,0,24,61.0,349,1,1,0,0.2936
1,1,27,57.1,204,1,3,1,0.9364
0,0,58,87.2,177,0,2,0,0.0444
0,1,43,73.8,343,0,2,1,0.4684
1,0,58,52.6,26,1,3,0,0.7591
0,0,57,60.7,28,1,3,1,0.4307
0,0,23,73.7,126,0,2,0,0.195
0,0,50,99.8,104,1,3,0,0.2158
0,1,33,65.0,333,1,2,1,0.5502
1,0,41,53.6,68,1,2,1,0.7004
0,0,47,72.3,106,0,1,1,0.0484
1,1,27,62.1,179,1,1,1,0.897
1,1,28,76.1,101,0,1,0,0.6561
1,0,61,70.7,261,0,3,0,0.384
1,1,39,82.9,151,1,2,1,0.9835
0,1,20,95.3,39,0,3,0,0.2439
0,0,55,56.0,288,0,3,1,0.1986
0,0,57,90.2,136,1,3,0,0.3119
0,0,40,97.2,176,0,2,0,0.0878
1,0,62,65.5,66,0,1,1,0.5428
1,0,36,51.3,150,1,2,1,0.7275
0,1,57,90.2,277,0,2,1,0.4392
1,1,30,83.6,327,1,3,1,1.0
1,0,53,56.7,211,0,3,1,0.585
1,0,20,69.5,333,1,1,1,0.838
1,0,39,76.8,349,1,2,0,0.6335
1,0,42,54.3,115,0,1,0,0.3586
1,1,37,84.3,135,0,3,0,0.6294
1,1,45,82.9,146,1,3,1,1.0
1,0,20,93.8,364,1,1,0,0.6752
1,1,39,76.2,165,1,1,1,0.9656
0,1,61,76.6,227,1,2,0,0.5324
0,0,54,79.1,133,0,1,1,0.1469
1,0,55,60.1,179,0,1,0,0.4154
0,1,35,86.7,289,0,2,0,0.2567
1,1,37,81.4,329,0,3,1,0.8992
1,1,63,91.2,350,1,2,1,0.9597
0,1,22,87.3,42,0,3,1,0.3624
0,0,60,80.1,290,1,3,1,0.3667
1,1,26,53.8,138,0,1,0,0.6885
1,0,46,95.6,252,0,1,1,0.5703
0,1,34,65.2,345,0,1,1,0.4057
1,1,29,98.0,184,1,1,1,0.815
0,0,43,67.1,64,0,1,0,0.062
1,0,50,53.0,303,0,3,1,0.5785
1,1,50,93.7,179,0,2,1,0.7159
0,1,53,88.7,294,0,1,0,0.3436
1,0,46,88.2,213,1,3,1,0.7122
0,1,39,49.9,152,1,1,1,0.4817
1,0,35,93.4,359,0,2,1,0.4827
0,0,34,77.8,356,1,3,0,0.3032
1,1,61,70.9,287,1,2,1,0.8864
0,1,41,95.2,122,1,1,1,0.5955
0,0,39,81.6,93,0,3,0,0.0673
0,0,61,52.3,81,0,2,0,0.0878
0,0,22,73.6,107,1,1,0,0.2159
0,0,18,80.0,239,1,1,0,0.3154
0,0,36,94.4,66,0,3,1,0.245
1,0,47,60.4,267,0,1,1,0.5225
0,1,56,88.7,242,1,2,0,0.58
1,1,32,89.0,275,1,1,0,0.7928
1,0,63,52.0,305,1,2,1,0.7408
0,1,52,45.9,135,0,2,0,0.293
1,0,22,77.0,158,0,2,0,0.47
1,0,23,88.4,151,1,2,1,0.6417
0,0,42,75.5,41,1,3,0,0.3631
0,1,28,89.7,333,1,2,1,0.5817
0,1,39,79.2,334,0,3,1,0.4784
0,0,51,80.9,25,0,3,0,0.0648
1,0,61,46.5,165,1,3,0,0.7396
0,1,31,49.9,365,0,1,0,0.3349
0,1,26,84.9,293,0,2,1,0.4587
0,0,37,87.0,96,0,1,0,0.0686
1,0,33,74.8,266,0,2,0,0.4437
1,1,34,77.5,122,1,3,1,0.8817
0,1,34,78.8,22,0,1,1,0.339
0,0,51,50.8,317,1,1,0,0.3345
0,0,59,81.7,197,1,3,1,0.467
1,0,28,71.3,40,1,3,1,0.7184
1,0,52,78.1,120,0,3,0,0.6201
1,0,51,76.0,348,0,1,1,0.5839
1,0,53,87.0,3,1,3,0,0.6129
0,1,25,62.5,254,1,1,1,0.5389
1,1,36,65.5,130,1,2,0,0.7826
0,1,50,66.5,306,1,3,0,0.5352
0,0,40,86.9,182,0,1,0,0.1372
0,0,19,68.7,106,0,3,1,0.237
0,1,25,54.7,176,0,3,1,0.507
1,1,46,99.1,71,0,1,1,0.7722
0,0,59,72.1,69,1,1,0,0.3115
1,1,24,51.0,68,0,1,0,0.6772
1,1,46,81.9,263,1,3,1,0.9858
1,0,48,85.7,122,0,2,0,0.442
0,1,47,72.5,226,0,2,0,0.2287
0,1,52,80.6,182,1,3,1,0.6545
0,1,42,54.5,226,1,3,0,0.5429
0,0,64,65.2,71,1,1,1,0.443
0,0,21,53.9,7,0,2,1,0.1498
1,1,60,66.3,71,1,2,0,0.7749
0,1,55,76.0,211,1,2,1,0.523
1,0,34,69.3,262,0,1,1,0.5885
1,0,27,77.6,45,1,2,0,0.6319
1,0,18,72.6,149,1,1,1,0.6887
1,0,35,62.5,80,0,3,1,0.5727
0,0,63,52.9,260,1,1,0,0.2056
0,1,36,58.9,174,1,3,0,0.4583
0,0,49,56.0,142,1,2,1,0.4726
1,1,48,83.9,191,1,3,1,0.9859
1,1,50,90.1,158,0,3,1,0.7923
1,0,39,84.6,236,1,3,0,0.6827
1,0,18,80.4,82,1,1,1,0.663
1,0,58,61.9,299,0,1,1,0.4927
1,1,63,84.1,174,0,1,0,0.5555
0,0,52,78.3,139,0,3,1,0.276
1,1,61,47.6,63,1,3,0,0.8825
0,0,34,94.9,278,0,3,0,0.1113
0,1,51,49.4,49,1,2,0,0.5103
0,1,46,72.6,214,0,1,0,0.2221
1,0,23,73.2,124,1,2,1,0.7848
0,0,18,91.0,35,1,2,0,0.2295
0,1,44,95.2,138,0,2,0,0.2933
1,1,29,96.7,85,0,3,0,0.6277
0,0,21,76.3,55,0,1,0,0.1148
0,1,33,82.3,248,0,2,1,0.4729
1,1,28,49.9,221,1,1,1,0.9501
1,0,37,71.8,324,0,1,0,0.424
1,0,43,94.4,292,1,3,1,0.7662
0,1,45,70.1,248,1,2,0,0.5114
0,1,59,48.8,213,0,3,0,0.2941
1,0,25,56.0,297,1,1,1,0.7685
0,0,19,68.6,157,0,2,0,0.0784
1,0,57,58.1,93,0,1,1,0.501
1,1,43,66.6,277,0,1,0,0.6337
1,0,44,63.3,165,0,3,0,0.5501
0,1,50,62.5,55,1,2,0,0.4718
0,0,24,50.0,333,0,3,1,0.336
0,0,63,93.5,351,1,3,0,0.3915
1,1,53,83.1,81,1,1,0,0.8375
1,0,38,79.3,33,0,2,0,0.3905
0,1,51,78.4,62,0,2,1,0.3154
0,0,40,66.8,1,1,2,0,0.2714
0,0,51,90.3,189,1,3,1,0.3728
1,0,57,96.2,42,0,3,1,0.4661
1,0,24,45.3,94,1,3,1,0.7396
0,0,43,49.4,273,0,1,1,0.0897
0,1,57,82.1,147,1,3,0,0.569
0,1,34,58.0,6,1,2,0,0.411
0,1,48,95.1,213,1,1,1,0.4803
1,0,56,81.7,307,0,2,1,0.5314
0,0,42,65.3,292,1,3,0,0.3694
0,0,54,67.8,97,0,2,0,0.0583
1,0,32,83.0,301,1,1,0,0.6655
1,1,19,52.8,358,1,3,0,0.9308
0,1,28,93.6,41,1,1,1,0.5548
1,0,49,45.3,315,0,3,0,0.462
0,1,47,98.8,241,0,1,1,0.388
0,0,34,54.2,103,0,1,0,0.0
0,0,41,85.8,246,0,2,1,0.1948
1,0,62,47.2,335,1,3,1,0.8544
0,1,21,68.7,77,1,3,0,0.4792
0,0,63,79.7,123,1,3,1,0.4333
1,1,49,48.9,31,1,1,0,0.6965
1,1,36,69.4,166,1,2,1,0.9764
1,0,20,61.7,281,0,2,1,0.5398
0,1,21,72.4,29,0,3,0,0.288
0,0,42,72.8,253,0,3,1,0.2177
0,1,26,88.2,168,1,1,0,0.4709
0,0,38,51.8,358,1,1,0,0.2604
0,0,40,49.5,31,0,1,1,0.1436
1,0,63,67.1,183,1,2,0,0.58
1,0,46,93.8,52,0,1,1,0.4693
0,0,47,92.0,336,1,1,0,0.294
0,1,42,75.8,148,0,1,0,0.2449
0,0,46,93.9,75,0,3,1,0.2276
0,0,51,89.3,68,0,1,1,0.1734
0,1,31,60.3,273,1,3,1,0.668
0,0,39,54.4,228,0,2,0,0.1317
0,0,65,61.6,36,0,2,0,0.0
0,1,33,57.5,134,0,3,0,0.2598
1,0,28,79.2,60,1,3,1,0.849
1,1,31,77.2,130,0,1,1,0.7498
0,1,24,77.9,0,1,1,1,0.5137
0,1,22,55.4,59,0,2,0,0.3043
0,0,57,88.6,326,1,2,1,0.3815
1,1,46,68.8,346,1,2,1,0.9965
1,0,34,71.0,30,0,2,1,0.4728
0,1,47,99.8,263,0,1,0,0.2887
0,1,42,60.5,6,1,1,1,0.5245
0,1,31,66.7,134,1,2,0,0.5223
0,0,59,82.2,19,1,1,1,0.453
0,1,39,93.4,326,0,1,1,0.382
1,0,61,52.0,141,0,3,0,0.375
0,1,22,85.4,142,1,3,1,0.6296
0,1,57,95.5,209,0,2,1,0.3907
1,0,45,68.3,124,0,2,0,0.3146
0,1,29,60.8,320,0,2,1,0.3721
1,1,53,82.3,353,1,2,0,0.9018
1,0,30,58.5,2,0,2,1,0.5686
1,0,38,66.1,130,0,1,1,0.5537
0,1,49,94.3,74,1,3,1,0.6917
1,1,38,77.5,323,1,3,1,0.9798
1,1,54,50.2,159,1,3,1,0.923
1,0,55,63.1,271,0,1,0,0.3426
0,0,26,79.5,16,0,1,1,0.1353
1,1,54,71.5,355,0,1,0,0.6021
1,0,19,81.3,31,1,3,0,0.6111
0,0,20,86.9,154,1,3,0,0.2386
0,1,60,71.4,111,0,3,1,0.396
1,0,27,99.3,97,0,3,1,0.522
1,0,52,95.3,260,0,3,0,0.4495
1,0,26,48.3,344,1,1,0,0.7178
0,0,57,59.7,91,1,1,0,0.2445
0,0,65,61.5,145,0,3,1,0.2118
0,1,49,55.1,2,1,1,0,0.4739
0,0,38,62.2,283,1,3,0,0.3144
0,0,51,68.4,289,0,3,1,0.2638
1,0,42,47.8,341,0,3,0,0.5308
1,0,59,52.0,285,0,1,0,0.3736
0,1,49,50.3,47,0,2,0,0.2605
1,1,63,47.5,64,0,2,0,0.5521
0,0,54,71.5,220,0,2,0,0.0414
1,1,39,63.4,146,0,2,1,0.6998
1,0,42,96.4,179,0,2,1,0.5586
0,1,18,50.7,296,1,1,1,0.5201
0,0,62,95.9,348,0,3,0,0.1542
1,0,53,49.8,352,1,2,0,0.6506
1,1,38,79.1,80,0,2,1,0.7127
1,0,58,58.6,357,1,2,1,0.8031
1,1,33,90.5,192,0,3,1,0.8612
0,0,49,48.4,296,1,2,1,0.3259
1,1,38,97.4,122,0,1,0,0.6269
0,1,45,47.6,288,0,3,0,0.4391
1,1,36,58.3,227,1,3,1,1.0
0,1,31,70.5,81,1,3,1,0.6409
0,0,40,86.6,83,1,3,1,0.3208
0,0,41,97.3,242,0,2,0,0.1618
1,1,37,68.5,214,1,2,1,1.0
1,0,49,86.7,173,1,1,1,0.7399
0,0,57,85.0,345,0,2,0,0.1605
1,0,27,76.4,326,0,3,0,0.547
0,1,18,83.0,104,0,1,0,0.2817
0,1,48,47.1,56,0,2,0,0.3146
0,0,54,69.3,275,1,3,1,0.3566
0,0,32,88.2,168,0,1,0,0.181
0,1,57,71.1,238,0,1,1,0.4144
1,0,48,93.0,74,1,2,0,0.6727
0,0,45,90.9,293,0,3,1,0.2583
1,0,27,92.5,282,1,2,1,0.6583
1,1,23,52.1,195,1,1,1,0.7943
1,1,32,58.4,217,1,3,0,0.9049
0,1,64,46.6,152,1,1,0,0.4521
1,0,44,99.1,269,0,1,0,0.4581
1,0,27,58.0,36,0,3,1,0.5398
1,0,38,65.2,177,1,2,0,0.6231
1,1,36,60.1,347,1,1,0,0.8179
0,1,21,47.2,199,0,3,0,0.3046
1,1,39,59.4,169,1,2,0,0.7869
1,0,55,50.4,309,0,2,1,0.4967
0,1,32,66.7,124,0,1,0,0.2747
1,0,23,98.2,162,1,3,1,0.8031
1,0,28,83.4,286,0,2,1,0.4081
1,1,61,83.9,353,1,3,0,0.888
1,0,47,69.9,249,1,2,1,0.7395
1,0,57,89.6,227,0,3,0,0.5039
0,1,41,95.0,144,1,3,0,0.5441
1,0,39,97.9,112,0,3,0,0.4999
1,1,47,50.4,340,0,1,0,0.6128
0,1,63,93.4,345,0,2,0,0.2786
1,1,21,57.4,91,1,2,0,0.7432
1,0,23,66.8,180,0,1,1,0.5024
1,1,55,64.0,127,1,2,0,0.7556
0,1,43,82.1,277,0,2,1,0.3693
1,1,36,77.9,168,0,1,1,0.6367
1,0,19,51.0,258,1,1,0,0.6865
1,0,21,88.1,347,1,1,0,0.5668
1,0,22,69.2,62,0,3,0,0.4154
1,1,64,45.1,321,1,1,1,0.9549
0,1,52,67.8,301,1,3,1,0.6982
1,1,46,73.4,211,1,2,0,0.809
0,0,33,48.8,241,1,1,1,0.4425
1,1,62,53.3,135,1,1,1,0.8875
1,1,29,99.6,38,1,1,1,0.9466
1,0,38,92.9,349,0,1,1,0.5333
0,0,26,52.3,302,1,2,0,0.2421
0,1,28,76.9,67,1,3,1,0.5656
1,1,25,65.9,56,1,2,0,0.8185
1,1,43,74.9,152,0,3,1,0.8234
0,0,49,70.9,200,1,2,1,0.4215
0,0,56,47.6,86,0,2,1,0.2417
0,1,21,62.3,317,1,2,1,0.575
1,0,51,51.9,38,0,1,0,0.309
0,0,45,71.9,247,0,1,0,0.0972
0,1,42,94.9,113,0,3,0,0.3379
0,1,61,99.8,203,0,2,0,0.2866
0,0,52,96.9,205,0,1,0,0.0361
1,0,36,99.2,134,1,2,0,0.6144
0,0,52,45.8,350,1,2,0,0.2766
0,0,56,85.1,261,1,3,1,0.4528
1,1,46,60.0,122,0,3,0,0.6985
0,0,31,92.6,82,0,2,1,0.2431
1,1,38,89.8,212,1,2,0,0.8461
0,0,53,68.3,274,1,2,0,0.3208
1,1,55,71.0,174,1,3,0,0.7911
0,0,31,59.6,274,1,3,0,0.343
1,1,57,60.9,235,1,1,0,0.846
1,1,32,99.0,33,1,3,1,0.9142
1,1,47,93.9,170,0,2,1,0.8107
1,0,64,55.6,140,1,2,1,0.6957
1,0,29,60.2,24,0,3,0,0.4663
1,0,22,51.0,96,1,1,0,0.6053
0,0,44,99.4,311,0,3,1,0.1989
1,1,32,94.9,20,1,3,0,0.8449
1,0,43,75.4,289,0,2,1,0.559
1,1,26,83.1,109,0,2,1,0.7365
1,1,57,86.1,280,0,1,0,0.5445
0,0,57,56.2,81,0,2,0,0.0953
1,1,52,96.4,106,0,1,0,0.6477
0,1,30,74.0,266,0,3,1,0.4805
1,0,62,50.1,274,1,1,0,0.6587
0,0,61,66.8,176,0,3,0,0.0751
0,1,64,78.1,285,1,3,0,0.5733
0,0,63,64.4,108,0,2,0,0.0061
1,1,50,83.5,37,1,3,1,0.9459
0,0,51,93.5,270,1,3,1,0.3804
1,0,21,87.5,330,1,1,0,0.6775
1,1,30,80.3,215,1,2,0,0.8511
1,0,27,73.2,315,0,2,1,0.462
0,0,62,59.0,131,0,2,0,0.0675
0,0,18,70.0,338,0,3,1,0.1741
1,1,28,61.1,220,0,3,0,0.6522
0,1,26,96.4,269,0,1,0,0.2529
1,0,55,94.9,336,1,2,1,0.7953
0,1,40,53.6,263,1,2,0,0.5478
1,1,30,90.2,76,0,3,0,0.5893
1,1,22,83.7,214,1,1,1,0.8979
0,0,42,98.6,92,1,3,0,0.2928
0,0,27,70.5,138,0,2,0,0.0215
1,0,22,84.7,79,0,3,0,0.4467
0,1,39,73.5,49,0,1,0,0.2834
0,1,59,48.8,235,0,1,1,0.313
0,0,42,47.6,342,0,3,1,0.2897
0,0,54,51.7,331,0,2,1,0.1433
0,0,37,61.3,293,1,3,0,0.4192
1,0,45,59.3,151,0,3,1,0.569
0,1,38,85.1,94,0,1,0,0.2084
0,0,28,84.4,165,1,3,0,0.3539
0,1,46,98.4,320,0,1,1,0.5011
0,0,22,62.1,89,0,1,1,0.2132
1,0,54,96.6,16,1,3,0,0.6491
0,1,22,78.7,355,0,1,0,0.3465
1,0,50,72.2,228,0,3,1,0.6951
0,0,62,81.7,282,0,2,1,0.1865
1,1,53,83.7,344,1,2,1,0.972
0,1,25,54.5,221,0,1,1,0.3226
0,0,23,86.3,232,1,2,0,0.2791
0,1,32,84.9,280,0,2,1,0.3911
0,1,32,99.9,357,1,3,1,0.6269
1,0,65,95.2,351,1,3,0,0.7569
0,0,26,82.7,203,0,2,0,0.0005
1,0,22,84.2,313,0,2,1,0.5608
1,1,43,97.0,256,1,3,0,0.8822
0,1,40,98.2,276,1,3,1,0.6143
1,0,33,90.5,256,1,2,1,0.793
1,0,56,87.2,158,0,1,0,0.4449
0,0,52,51.1,316,0,3,1,0.2456
0,0,27,90.7,258,1,3,1,0.451
0,1,44,58.9,202,1,2,1,0.5919
0,0,33,76.0,175,0,2,1,0.2218
0,1,38,67.3,81,1,1,0,0.5232
0,1,29,64.0,24,0,3,0,0.3566
0,0,26,62.1,17,1,2,0,0.3808
1,1,33,92.0,283,0,2,1,0.7975
1,1,26,87.3,259,1,1,0,0.727
0,1,46,73.8,115,0,1,1,0.3813
1,0,40,81.5,148,0,3,0,0.4333
1,0,56,99.1,325,1,2,1,0.8268
1,0,60,66.9,20,1,2,1,0.7057
0,0,41,75.3,93,1,3,0,0.2465
