year,month,district,blood_group,registrations,emergency_requests,demand
2022,1,Karur,O+,37,12,75
2022,1,Karur,O-,24,0,22
2022,2,Chennai,A+,20,13,44
2022,2,Chennai,A-,61,13,58
2022,2,Chennai,B+,41,12,54
2022,2,Chennai,B-,75,11,48
2022,2,Chennai,AB+,15,8,15
2022,2,Chennai,AB-,23,5,12
2022,2,Chennai,O+,57,9,73
2022,2,Chennai,O-,5,14,39
2022,2,Coimbatore,A+,31,8,48
2022,2,Coimbatore,A-,14,3,20
2022,2,Coimbatore,B+,12,0,16
2022,2,Coimbatore,B-,33,4,18
2022,2,Coimbatore,AB+,8,0,2
2022,2,Coimbatore,AB-,46,5,27
2022,2,Coimbatore,O+,69,12,96
2022,2,Coimbatore,O-,38,0,33
2022,2,Madurai,A+,57,11,78
2022,2,Madurai,A-,5,13,28
2022,2,Madurai,B+,22,4,34
2022,2,Madurai,B-,71,5,42
2022,2,Madurai,AB+,31,4,20
2022,2,Madurai,AB-,39,14,28
2022,2,Madurai,O+,65,6,80
2022,2,Madurai,O-,5,2,11
2022,2,Salem,A+,71,13,90
2022,2,Salem,A-,43,2,30
2022,2,Salem,B+,73,6,63
2022,2,Salem,B-,60,11,55
2022,2,Salem,AB+,47,13,44
2022,2,Salem,AB-,22,4,12
2022,2,Salem,O+,65,0,63
2022,2,Salem,O-,18,8,37
2022,2,Trichy,A+,77,3,66
2022,2,Trichy,A-,35,9,40
2022,2,Trichy,B+,70,4,58
2022,2,Trichy,B-,54,1,35
2022,2,Trichy,AB+,19,8,25
2022,2,Trichy,AB-,12,9,19
2022,2,Trichy,O+,60,4,74
2022,2,Trichy,O-,46,12,53
2022,2,Vellore,A+,38,9,52
2022,2,Vellore,A-,50,7,38
2022,2,Vellore,B+,59,4,56
2022,2,Vellore,B-,61,7,42
2022,2,Vellore,AB+,68,0,31
2022,2,Vellore,AB-,47,7,20
2022,2,Vellore,O+,50,0,44
2022,2,Vellore,O-,19,9,41
2022,2,Erode,A+,69,14,92
2022,2,Erode,A-,47,1,27
2022,2,Erode,B+,38,1,24
2022,2,Erode,B-,73,3,47
2022,2,Erode,AB+,72,8,52
2022,2,Erode,AB-,54,9,31
2022,2,Erode,O+,34,4,51
2022,2,Erode,O-,49,13,63
2022,2,Tirunelveli,A+,8,5,28
2022,2,Tirunelveli,A-,49,1,23
2022,2,Tirunelveli,B+,64,0,44
2022,2,Tirunelveli,B-,32,12,31
2022,2,Tirunelveli,AB+,35,14,45
2022,2,Tirunelveli,AB-,48,6,26
2022,2,Tirunelveli,O+,31,5,37
2022,2,Tirunelveli,O-,26,7,31
2022,2,Thoothukudi,A+,28,11,45
2022,2,Thoothukudi,A-,16,3,23
2022,2,Thoothukudi,B+,64,8,69
2022,2,Thoothukudi,B-,57,12,50
2022,2,Thoothukudi,AB+,64,9,53
2022,2,Thoothukudi,AB-,55,2,25
2022,2,Thoothukudi,O+,69,10,92
2022,2,Thoothukudi,O-,26,9,45
2022,2,Namakkal,A+,28,13,57
2022,2,Namakkal,A-,27,9,25
2022,2,Namakkal,B+,76,4,60
2022,2,Namakkal,B-,31,13,44
2022,2,Namakkal,AB+,29,1,13
2022,2,Namakkal,AB-,47,2,23
2022,2,Namakkal,O+,45,7,61
2022,2,Namakkal,O-,50,11,59
2022,2,Dharmapuri,A+,19,10,44
2022,2,Dharmapuri,A-,28,2,19
2022,2,Dharmapuri,B+,12,11,35
2022,2,Dharmapuri,B-,20,5,18
2022,2,Dharmapuri,AB+,65,12,48
2022,2,Dharmapuri,AB-,62,12,45
2022,2,Dharmapuri,O+,67,9,90
2022,2,Dharmapuri,O-,23,6,31
2022,2,Krishnagiri,A+,28,6,46
2022,2,Krishnagiri,A-,65,4,38
2022,2,Krishnagiri,B+,33,1,24
2022,2,Krishnagiri,B-,9,11,19
2022,2,Krishnagiri,AB+,66,1,31
2022,2,Krishnagiri,AB-,15,12,18
2022,2,Krishnagiri,O+,24,5,43
2022,2,Krishnagiri,O-,30,6,32
2022,2,Dindigul,A+,29,12,51
2022,2,Dindigul,A-,14,1,14
2022,2,Dindigul,B+,62,7,69
2022,2,Dindigul,B-,56,3,28
2022,2,Dindigul,AB+,32,8,26
2022,2,Dindigul,AB-,38,10,33
2022,2,Dindigul,O+,21,11,46
2022,2,Dindigul,O-,60,12,73
2022,2,Thanjavur,A+,41,12,70
2022,2,Thanjavur,A-,44,13,48
2022,2,Thanjavur,B+,59,13,75
2022,2,Thanjavur,B-,36,10,30
2022,2,Thanjavur,AB+,73,1,35
2022,2,Thanjavur,AB-,49,4,18
2022,2,Thanjavur,O+,30,13,73
2022,2,Thanjavur,O-,42,0,29
2022,2,Karur,A+,31,0,21
2022,2,Karur,A-,19,13,28
2022,2,Karur,B+,34,1,27
2022,2,Karur,B-,43,12,44
2022,2,Karur,AB+,41,4,34
2022,2,Karur,AB-,27,9,25
2022,2,Karur,O+,32,9,54
2022,2,Karur,O-,55,1,42
2022,3,Chennai,A+,72,14,93
2022,3,Chennai,A-,77,2,50
2022,3,Chennai,B+,39,10,53
2022,3,Chennai,B-,21,6,15
2022,3,Chennai,AB+,30,14,44
2022,3,Chennai,AB-,30,8,15
2022,3,Chennai,O+,78,13,118
2022,3,Chennai,O-,52,14,69
2022,3,Coimbatore,A+,45,11,62
2022,3,Coimbatore,A-,23,0,8
2022,3,Coimbatore,B+,45,7,45
2022,3,Coimbatore,B-,69,14,59
2022,3,Coimbatore,AB+,8,13,33
2022,3,Coimbatore,AB-,25,9,19
2022,3,Coimbatore,O+,73,14,109
2022,3,Coimbatore,O-,14,2,8
2022,3,Madurai,A+,36,8,57
2022,3,Madurai,A-,19,1,9
2022,3,Madurai,B+,39,2,32
2022,3,Madurai,B-,75,9,48
2022,3,Madurai,AB+,30,2,25
2022,3,Madurai,AB-,39,11,24
2022,3,Madurai,O+,20,2,19
2022,3,Madurai,O-,73,11,72
2022,3,Salem,A+,16,12,47
2022,3,Salem,A-,43,3,28
2022,3,Salem,B+,52,7,54
2022,3,Salem,B-,59,13,56
2022,3,Salem,AB+,14,1,16
2022,3,Salem,AB-,28,7,24
2022,3,Salem,O+,38,8,55
2022,3,Salem,O-,30,14,50
2022,3,Trichy,A+,40,13,64
2022,3,Trichy,A-,7,11,27
2022,3,Trichy,B+,78,11,86
2022,3,Trichy,B-,27,6,18
2022,3,Trichy,AB+,62,11,47
2022,3,Trichy,AB-,56,10,35
2022,3,Trichy,O+,9,5,24
2022,3,Trichy,O-,22,14,40
2022,3,Vellore,A+,58,8,67
2022,3,Vellore,A-,64,8,54
2022,3,Vellore,B+,15,2,22
2022,3,Vellore,B-,9,5,12
2022,3,Vellore,AB+,57,13,44
2022,3,Vellore,AB-,30,2,13
2022,3,Vellore,O+,45,14,86
2022,3,Vellore,O-,12,7,25
2022,3,Erode,A+,17,10,39
2022,3,Erode,A-,64,10,60
2022,3,Erode,B+,50,2,39
2022,3,Erode,B-,17,7,26
2022,3,Erode,AB+,23,0,17
2022,3,Erode,AB-,66,14,47
2022,3,Erode,O+,36,13,66
2022,3,Erode,O-,75,5,59
2022,3,Tirunelveli,A+,60,10,67
2022,3,Tirunelveli,A-,27,13,42
2022,3,Tirunelveli,B+,65,3,49
2022,3,Tirunelveli,B-,6,12,26
2022,3,Tirunelveli,AB+,77,11,49
2022,3,Tirunelveli,AB-,27,3,14
2022,3,Tirunelveli,O+,35,13,71
2022,3,Tirunelveli,O-,49,9,61
2022,3,Thoothukudi,A+,36,2,42
2022,3,Thoothukudi,A-,65,1,33
2022,3,Thoothukudi,B+,19,14,46
2022,3,Thoothukudi,B-,60,10,47
2022,3,Thoothukudi,AB+,24,5,17
2022,3,Thoothukudi,AB-,19,13,30
2022,3,Thoothukudi,O+,18,8,39
2022,3,Thoothukudi,O-,54,0,34
2022,3,Namakkal,A+,19,7,42
2022,3,Namakkal,A-,47,10,51
2022,3,Namakkal,B+,65,5,63
2022,3,Namakkal,B-,43,8,31
2022,3,Namakkal,AB+,39,0,20
2022,3,Namakkal,AB-,13,10,24
2022,3,Namakkal,O+,64,13,105
2022,3,Namakkal,O-,72,12,79
2022,3,Dharmapuri,A+,36,5,42
2022,3,Dharmapuri,A-,42,6,41
2022,3,Dharmapuri,B+,67,8,67
2022,3,Dharmapuri,B-,19,1,8
2022,3,Dharmapuri,AB+,41,7,39
2022,3,Dharmapuri,AB-,72,0,20
2022,3,Dharmapuri,O+,52,2,52
2022,3,Dharmapuri,O-,43,10,45
2022,3,Krishnagiri,A+,57,1,48
2022,3,Krishnagiri,A-,64,11,61
2022,3,Krishnagiri,B+,39,8,42
2022,3,Krishnagiri,B-,38,14,43
2022,3,Krishnagiri,AB+,23,10,29
2022,3,Krishnagiri,AB-,67,1,29
2022,3,Krishnagiri,O+,53,5,60
2022,3,Krishnagiri,O-,70,0,47
2022,3,Dindigul,A+,5,12,39
2022,3,Dindigul,A-,13,14,29
2022,3,Dindigul,B+,14,0,19
2022,3,Dindigul,B-,49,1,29
2022,3,Dindigul,AB+,42,2,27
2022,3,Dindigul,AB-,63,0,31
2022,3,Dindigul,O+,47,3,56
2022,3,Dindigul,O-,65,5,48
2022,3,Thanjavur,A+,68,3,67
2022,3,Thanjavur,A-,49,0,22
2022,3,Thanjavur,B+,26,1,21
2022,3,Thanjavur,B-,29,14,32
2022,3,Thanjavur,AB+,47,0,25
2022,3,Thanjavur,AB-,24,4,11
2022,3,Thanjavur,O+,30,8,60
2022,3,Thanjavur,O-,34,0,26
2022,3,Karur,A+,42,12,69
2022,3,Karur,A-,32,3,21
2022,3,Karur,B+,28,12,43
2022,3,Karur,B-,21,4,16
2022,3,Karur,AB+,68,9,46
2022,3,Karur,AB-,35,8,20
2022,3,Karur,O+,50,1,51
2022,3,Karur,O-,54,11,59
2022,4,Chennai,A+,45,4,63
2022,4,Chennai,A-,74,0,59
2022,4,Chennai,B+,14,9,38
2022,4,Chennai,B-,71,9,71
2022,4,Chennai,AB+,20,5,30
2022,4,Chennai,AB-,40,12,42
2022,4,Chennai,O+,31,7,64
2022,4,Chennai,O-,57,10,76
2022,4,Coimbatore,A+,9,8,32
2022,4,Coimbatore,A-,52,6,54
2022,4,Coimbatore,B+,28,8,56
2022,4,Coimbatore,B-,79,13,80
2022,4,Coimbatore,AB+,13,4,20
2022,4,Coimbatore,AB-,15,11,27
2022,4,Coimbatore,O+,65,2,85
2022,4,Coimbatore,O-,59,3,65
2022,4,Madurai,A+,29,14,77
2022,4,Madurai,A-,60,10,67
2022,4,Madurai,B+,27,7,44
2022,4,Madurai,B-,62,3,51
2022,4,Madurai,AB+,78,14,78
2022,4,Madurai,AB-,44,14,44
2022,4,Madurai,O+,43,7,84
2022,4,Madurai,O-,49,12,81
2022,4,Salem,A+,38,9,66
2022,4,Salem,A-,19,5,28
2022,4,Salem,B+,75,1,77
2022,4,Salem,B-,5,8,19
2022,4,Salem,AB+,6,9,20
2022,4,Salem,AB-,72,11,51
2022,4,Salem,O+,24,4,48
2022,4,Salem,O-,48,11,75
2022,4,Trichy,A+,42,14,85
2022,4,Trichy,A-,33,1,22
2022,4,Trichy,B+,33,10,71
2022,4,Trichy,B-,67,6,50
2022,4,Trichy,AB+,24,14,53
2022,4,Trichy,AB-,62,6,37
2022,4,Trichy,O+,11,6,42
2022,4,Trichy,O-,65,10,91
2022,4,Vellore,A+,53,10,89
2022,4,Vellore,A-,74,14,84
2022,4,Vellore,B+,19,9,43
2022,4,Vellore,B-,16,8,33
2022,4,Vellore,AB+,30,13,52
2022,4,Vellore,AB-,34,12,37
2022,4,Vellore,O+,66,10,116
2022,4,Vellore,O-,21,6,38
2022,4,Erode,A+,74,5,90
2022,4,Erode,A-,61,4,49
2022,4,Erode,B+,74,5,79
2022,4,Erode,B-,79,3,59
2022,4,Erode,AB+,48,9,43
2022,4,Erode,AB-,22,4,13
2022,4,Erode,O+,65,8,116
2022,4,Erode,O-,48,2,49
2022,4,Tirunelveli,A+,41,12,78
2022,4,Tirunelveli,A-,62,11,73
2022,4,Tirunelveli,B+,30,14,75
2022,4,Tirunelveli,B-,55,8,50
2022,4,Tirunelveli,AB+,69,0,50
2022,4,Tirunelveli,AB-,79,2,39
2022,4,Tirunelveli,O+,26,4,48
2022,4,Tirunelveli,O-,58,1,51
2022,4,Thoothukudi,A+,48,6,75
2022,4,Thoothukudi,A-,16,4,22
2022,4,Thoothukudi,B+,34,8,65
2022,4,Thoothukudi,B-,51,11,52
2022,4,Thoothukudi,AB+,32,13,50
2022,4,Thoothukudi,AB-,20,11,32
2022,4,Thoothukudi,O+,59,3,89
2022,4,Thoothukudi,O-,23,1,26
2022,4,Namakkal,A+,79,13,130
2022,4,Namakkal,A-,60,6,65
2022,4,Namakkal,B+,15,10,44
2022,4,Namakkal,B-,49,6,52
2022,4,Namakkal,AB+,28,10,45
2022,4,Namakkal,AB-,40,0,24
2022,4,Namakkal,O+,8,0,9
2022,4,Namakkal,O-,60,10,79
2022,4,Dharmapuri,A+,29,9,55
2022,4,Dharmapuri,A-,56,5,59
2022,4,Dharmapuri,B+,74,5,93
2022,4,Dharmapuri,B-,65,0,35
2022,4,Dharmapuri,AB+,16,13,46
2022,4,Dharmapuri,AB-,38,6,27
2022,4,Dharmapuri,O+,73,7,108
2022,4,Dharmapuri,O-,35,11,62
2022,4,Krishnagiri,A+,46,3,64
2022,4,Krishnagiri,A-,79,11,90
2022,4,Krishnagiri,B+,6,14,50
2022,4,Krishnagiri,B-,39,10,44
2022,4,Krishnagiri,AB+,79,2,54
2022,4,Krishnagiri,AB-,20,3,16
2022,4,Krishnagiri,O+,72,11,123
2022,4,Krishnagiri,O-,48,8,63
2022,4,Dindigul,A+,46,3,64
2022,4,Dindigul,A-,32,11,51
2022,4,Dindigul,B+,5,3,14
2022,4,Dindigul,B-,33,7,31
2022,4,Dindigul,AB+,28,8,43
2022,4,Dindigul,AB-,60,13,56
2022,4,Dindigul,O+,57,13,123
2022,4,Dindigul,O-,47,0,40
2022,4,Thanjavur,A+,15,3,28
2022,4,Thanjavur,A-,25,6,34
2022,4,Thanjavur,B+,24,4,34
2022,4,Thanjavur,B-,21,9,40
2022,4,Thanjavur,AB+,9,13,36
2022,4,Thanjavur,AB-,56,0,34
2022,4,Thanjavur,O+,40,4,65
2022,4,Thanjavur,O-,53,5,61
2022,4,Karur,A+,31,4,40
2022,4,Karur,A-,47,2,37
2022,4,Karur,B+,13,12,54
2022,4,Karur,B-,69,13,79
2022,4,Karur,AB+,36,3,26
2022,4,Karur,AB-,64,6,35
2022,4,Karur,O+,65,5,93
2022,4,Karur,O-,55,9,78
2022,5,Chennai,A+,29,10,59
2022,5,Chennai,A-,12,1,15
2022,5,Chennai,B+,26,13,66
2022,5,Chennai,B-,43,8,43
2022,5,Chennai,AB+,26,8,41
2022,5,Chennai,AB-,38,3,30
2022,5,Chennai,O+,63,7,100
2022,5,Chennai,O-,58,2,55
2022,5,Coimbatore,A+,22,7,46
2022,5,Coimbatore,A-,11,9,26
2022,5,Coimbatore,B+,66,1,61
2022,5,Coimbatore,B-,35,9,38
2022,5,Coimbatore,AB+,39,12,57
2022,5,Coimbatore,AB-,53,14,41
2022,5,Coimbatore,O+,72,1,83
2022,5,Coimbatore,O-,41,14,79
2022,5,Madurai,A+,32,13,76
2022,5,Madurai,A-,14,7,34
2022,5,Madurai,B+,32,4,44
2022,5,Madurai,B-,11,3,9
2022,5,Madurai,AB+,61,10,62
2022,5,Madurai,AB-,18,7,23
2022,5,Madurai,O+,36,4,54
2022,5,Madurai,O-,52,7,67
2022,5,Salem,A+,79,1,85
2022,5,Salem,A-,35,4,28
2022,5,Salem,B+,43,9,74
2022,5,Salem,B-,51,10,49
2022,5,Salem,AB+,24,4,22
2022,5,Salem,AB-,58,0,28
2022,5,Salem,O+,72,12,130
2022,5,Salem,O-,28,12,60
2022,5,Trichy,A+,73,10,114
2022,5,Trichy,A-,14,7,22
2022,5,Trichy,B+,77,5,91
2022,5,Trichy,B-,24,2,24
2022,5,Trichy,AB+,14,2,15
2022,5,Trichy,AB-,44,11,37
2022,5,Trichy,O+,9,10,46
2022,5,Trichy,O-,71,7,80
2022,5,Vellore,A+,35,14,90
2022,5,Vellore,A-,63,5,53
2022,5,Vellore,B+,71,14,110
2022,5,Vellore,B-,5,10,30
2022,5,Vellore,AB+,73,6,67
2022,5,Vellore,AB-,37,12,45
2022,5,Vellore,O+,46,14,114
2022,5,Vellore,O-,56,1,57
2022,5,Erode,A+,69,0,75
2022,5,Erode,A-,42,6,38
2022,5,Erode,B+,46,11,74
2022,5,Erode,B-,43,9,49
2022,5,Erode,AB+,77,5,60
2022,5,Erode,AB-,77,10,55
2022,5,Erode,O+,33,3,53
2022,5,Erode,O-,20,8,36
2022,5,Tirunelveli,A+,79,8,104
2022,5,Tirunelveli,A-,31,6,42
2022,5,Tirunelveli,B+,64,2,72
2022,5,Tirunelveli,B-,47,12,53
2022,5,Tirunelveli,AB+,20,11,31
2022,5,Tirunelveli,AB-,78,2,43
2022,5,Tirunelveli,O+,24,9,69
2022,5,Tirunelveli,O-,64,5,74
2022,5,Thoothukudi,A+,55,2,65
2022,5,Thoothukudi,A-,14,1,10
2022,5,Thoothukudi,B+,57,7,77
2022,5,Thoothukudi,B-,58,1,42
2022,5,Thoothukudi,AB+,35,12,50
2022,5,Thoothukudi,AB-,5,6,15
2022,5,Thoothukudi,O+,53,10,98
2022,5,Thoothukudi,O-,61,5,68
2022,5,Namakkal,A+,66,11,107
2022,5,Namakkal,A-,11,7,22
2022,5,Namakkal,B+,65,6,82
2022,5,Namakkal,B-,76,6,57
2022,5,Namakkal,AB+,15,0,4
2022,5,Namakkal,AB-,48,4,36
2022,5,Namakkal,O+,11,10,57
2022,5,Namakkal,O-,28,6,39
2022,5,Dharmapuri,A+,31,13,76
2022,5,Dharmapuri,A-,58,7,60
2022,5,Dharmapuri,B+,69,1,69
2022,5,Dharmapuri,B-,71,6,54
2022,5,Dharmapuri,AB+,62,9,53
2022,5,Dharmapuri,AB-,36,0,18
2022,5,Dharmapuri,O+,9,9,43
2022,5,Dharmapuri,O-,77,13,110
2022,5,Krishnagiri,A+,46,1,53
2022,5,Krishnagiri,A-,30,6,38
2022,5,Krishnagiri,B+,73,6,89
2022,5,Krishnagiri,B-,60,6,46
2022,5,Krishnagiri,AB+,47,10,52
2022,5,Krishnagiri,AB-,40,1,29
2022,5,Krishnagiri,O+,12,3,22
2022,5,Krishnagiri,O-,23,5,30
2022,5,Dindigul,A+,15,2,16
2022,5,Dindigul,A-,78,4,71
2022,5,Dindigul,B+,71,10,98
2022,5,Dindigul,B-,41,1,23
2022,5,Dindigul,AB+,32,13,45
2022,5,Dindigul,AB-,34,13,39
2022,5,Dindigul,O+,31,1,39
2022,5,Dindigul,O-,43,9,68
2022,5,Thanjavur,A+,67,6,89
2022,5,Thanjavur,A-,22,1,20
2022,5,Thanjavur,B+,49,0,45
2022,5,Thanjavur,B-,27,14,48
2022,5,Thanjavur,AB+,39,8,41
2022,5,Thanjavur,AB-,34,4,28
2022,5,Thanjavur,O+,11,9,47
2022,5,Thanjavur,O-,46,9,68
2022,5,Karur,A+,68,11,109
2022,5,Karur,A-,67,1,48
2022,5,Karur,B+,49,3,51
2022,5,Karur,B-,68,13,69
2022,5,Karur,AB+,38,12,45
2022,5,Karur,AB-,73,8,55
2022,5,Karur,O+,43,14,110
2022,5,Karur,O-,16,2,23
2022,6,Chennai,A+,11,10,39
2022,6,Chennai,A-,24,14,44
2022,6,Chennai,B+,32,11,60
2022,6,Chennai,B-,61,12,60
2022,6,Chennai,AB+,41,11,50
2022,6,Chennai,AB-,74,6,49
2022,6,Chennai,O+,48,0,52
2022,6,Chennai,O-,23,0,16
2022,6,Coimbatore,A+,50,5,75
2022,6,Coimbatore,A-,41,10,52
2022,6,Coimbatore,B+,51,13,97
2022,6,Coimbatore,B-,34,7,38
2022,6,Coimbatore,AB+,38,13,54
2022,6,Coimbatore,AB-,65,2,37
2022,6,Coimbatore,O+,70,12,134
2022,6,Coimbatore,O-,13,4,25
2022,6,Madurai,A+,69,3,75
2022,6,Madurai,A-,73,11,81
2022,6,Madurai,B+,25,12,61
2022,6,Madurai,B-,76,5,61
2022,6,Madurai,AB+,61,14,66
2022,6,Madurai,AB-,45,4,24
2022,6,Madurai,O+,11,8,39
2022,6,Madurai,O-,7,6,26
2022,6,Salem,A+,40,4,56
2022,6,Salem,A-,27,1,29
2022,6,Salem,B+,10,6,30
2022,6,Salem,B-,25,0,12
2022,6,Salem,AB+,30,14,50
2022,6,Salem,AB-,68,3,35
2022,6,Salem,O+,54,12,108
2022,6,Salem,O-,23,7,48
2022,6,Trichy,A+,62,13,111
2022,6,Trichy,A-,19,14,41
2022,6,Trichy,B+,68,10,103
2022,6,Trichy,B-,13,11,25
2022,6,Trichy,AB+,58,5,51
2022,6,Trichy,AB-,5,9,23
2022,6,Trichy,O+,33,14,92
2022,6,Trichy,O-,79,4,84
2022,6,Vellore,A+,43,8,68
2022,6,Vellore,A-,56,10,67
2022,6,Vellore,B+,50,8,72
2022,6,Vellore,B-,46,14,58
2022,6,Vellore,AB+,79,8,62
2022,6,Vellore,AB-,8,8,12
2022,6,Vellore,O+,32,1,45
2022,6,Vellore,O-,76,10,97
2022,6,Erode,A+,42,4,52
2022,6,Erode,A-,21,13,42
2022,6,Erode,B+,47,5,66
2022,6,Erode,B-,63,10,66
2022,6,Erode,AB+,35,11,43
2022,6,Erode,AB-,51,10,40
2022,6,Erode,O+,75,2,100
2022,6,Erode,O-,30,7,47
2022,6,Tirunelveli,A+,47,2,54
2022,6,Tirunelveli,A-,61,0,47
2022,6,Tirunelveli,B+,38,1,37
2022,6,Tirunelveli,B-,55,3,44
2022,6,Tirunelveli,AB+,49,1,38
2022,6,Tirunelveli,AB-,12,14,26
2022,6,Tirunelveli,O+,22,9,69
2022,6,Tirunelveli,O-,14,10,49
2022,6,Thoothukudi,A+,24,8,59
2022,6,Thoothukudi,A-,56,13,66
2022,6,Thoothukudi,B+,5,5,24
2022,6,Thoothukudi,B-,53,0,34
2022,6,Thoothukudi,AB+,37,10,50
2022,6,Thoothukudi,AB-,39,4,21
2022,6,Thoothukudi,O+,58,14,130
2022,6,Thoothukudi,O-,50,8,61
2022,6,Namakkal,A+,11,3,28
2022,6,Namakkal,A-,16,9,32
2022,6,Namakkal,B+,43,12,76
2022,6,Namakkal,B-,27,14,51
2022,6,Namakkal,AB+,48,13,56
2022,6,Namakkal,AB-,25,8,22
2022,6,Namakkal,O+,65,6,96
2022,6,Namakkal,O-,28,8,51
2022,6,Dharmapuri,A+,35,4,44
2022,6,Dharmapuri,A-,69,4,65
2022,6,Dharmapuri,B+,36,1,32
2022,6,Dharmapuri,B-,33,5,29
2022,6,Dharmapuri,AB+,34,10,49
2022,6,Dharmapuri,AB-,22,13,29
2022,6,Dharmapuri,O+,15,3,29
2022,6,Dharmapuri,O-,50,11,71
2022,6,Krishnagiri,A+,57,7,77
